Product_ID,Product_Name,Product_Price,Price_Category
1,FinPredictor Suite,140000.0,High
2,MarketMinder Analytics,168000.0,High
3,TrendWise Forecaster,100800.0,High
4,CustomerScope Insights,123200.0,High
5,SalesSync Optimizer,84000.0,Medium
6,RevenueVue Dashboard,179200.0,High
7,DataBridge Integration Tool,151200.0,High
8,RiskRadar Monitor,151200.0,High
9,Product 9,112000.0,High
10,SegmentX Targeting,89600.0,Medium
11,OptiFlow Automation,156800.0,High
12,BudgetMaster Pro,84000.0,Medium
13,ForecastXcelerator ,196000.0,High
14,InsightMax Insights Platform,128800.0,High
15,NexGen Segmentator,100800.0,High
16,SpendTrack Plus,106400.0,High
17,RealTime Revenue,168000.0,High
18,DashSync Analytics Hub,134400.0,High
19,EcoNomix Modeler,95200.0,Medium
20,FinSphere Intelligence Suite,224000.0,High
